timestamp,MQ-135,MQ-7
0,354,326
10,353,340
20,354,340
30,355,342
40,353,342
50,354,345
60,355,341
70,351,341
80,351,344
90,353,341
100,354,344
110,355,344
120,355,342
130,353,343
140,354,343
150,354,343
160,354,344
170,354,343
180,353,344
190,353,343
200,353,345
210,351,344
220,352,342
230,352,344
240,353,343
250,352,344
260,353,343
270,350,341
280,349,344
290,353,343
300,352,343
310,352,344
320,352,343
330,352,344
340,353,342
350,354,345
360,354,344
370,354,343
380,356,343
390,355,343
400,356,344
410,354,344
420,353,344
430,355,345
440,358,343
450,355,346
460,355,345
470,355,343
480,351,346
490,354,344
500,356,346
510,356,344
520,355,345
530,358,346
540,354,345
550,357,347
560,353,346
570,356,347
580,353,346
590,357,347
600,355,347
610,355,349
620,355,349
630,355,350
640,356,349
650,356,349
660,356,349
670,354,349
680,356,351
690,357,352
700,357,351
710,358,351
720,357,352
730,355,352
740,356,351
750,356,354
760,355,351
770,356,351
780,357,352
790,358,351
800,356,353
810,356,351
820,355,351
830,358,352
840,358,350
850,357,352
860,355,352
870,357,352
880,357,354
890,357,352
900,355,353
910,357,351
920,355,352
930,355,352
940,357,352
950,357,352
960,356,351
970,357,352
980,356,351
990,356,351
