timestamp,MQ-135,MQ-7
0,346,362
10,346,369
20,347,367
30,347,368
40,347,367
50,347,369
60,344,368
70,344,367
80,347,368
90,347,370
100,346,371
110,346,371
120,346,372
130,347,373
140,347,370
150,346,372
160,345,372
170,348,371
180,347,372
190,345,369
200,344,372
210,345,372
220,343,373
230,343,372
240,340,371
250,341,373
260,339,372
270,337,371
280,338,373
290,341,372
300,341,372
310,340,373
320,340,372
330,342,372
340,337,371
350,335,373
360,340,372
370,341,370
380,339,372
390,339,370
400,339,371
410,338,371
420,340,370
430,338,372
440,339,370
450,338,371
460,338,368
470,336,368
480,340,370
490,337,370
500,340,369
510,339,369
520,342,368
530,339,368
540,339,368
550,339,369
560,338,368
570,338,369
580,335,369
590,336,368
600,337,368
610,338,368
620,337,367
630,336,368
640,339,366
650,336,367
660,335,367
670,335,366
680,338,368
690,335,366
700,335,366
710,334,367
720,334,366
730,335,367
740,335,366
750,334,367
760,333,366
770,333,365
780,334,365
790,333,365
800,332,365
810,335,365
820,332,365
830,331,366
840,333,366
850,331,366
860,329,365
870,331,365
880,329,365
890,329,364
900,328,367
910,331,366
920,329,365
930,328,367
940,328,363
950,329,365
960,327,364
970,327,366
980,328,366
990,328,364
