timestamp,MQ-135,MQ-7
0,328,515
10,326,495
20,327,496
30,323,495
40,319,494
50,322,495
60,322,495
70,321,494
80,321,494
90,323,495
100,321,495
110,326,494
120,325,497
130,324,496
140,328,496
150,326,495
160,325,496
170,329,497
180,330,498
190,331,498
200,329,497
210,329,496
220,328,497
230,329,497
240,328,497
250,329,496
260,329,497
270,330,499
280,331,497
290,332,498
300,332,497
310,331,497
320,328,498
330,331,498
340,330,499
350,330,498
360,333,499
370,331,497
380,331,497
390,330,499
400,332,498
410,333,498
420,331,498
430,330,498
440,330,499
450,332,498
460,331,499
470,332,498
480,333,498
490,332,500
500,331,499
510,332,498
520,331,499
530,331,498
540,330,499
550,332,498
560,332,498
570,331,499
580,332,499
590,331,500
600,333,498
610,331,500
620,331,498
630,329,497
640,331,500
650,331,498
660,331,498
670,331,499
680,329,500
690,332,499
700,332,499
710,332,500
720,332,499
730,332,501
740,333,500
750,330,498
760,330,499
770,332,499
780,332,499
790,333,501
800,333,499
810,333,499
820,333,500
830,332,499
840,332,499
850,332,498
860,334,500
870,333,499
880,334,500
890,334,499
900,334,499
910,333,499
920,332,500
930,334,499
940,333,501
950,333,498
960,331,499
970,332,500
980,331,499
990,332,500
