timestamp,MQ-135,MQ-7
0,444,524
10,440,517
20,438,518
30,434,518
40,436,518
50,432,516
60,432,516
70,431,517
80,433,517
90,430,517
100,436,516
110,435,516
120,435,516
130,436,517
140,437,517
150,437,517
160,438,516
170,441,516
180,446,517
190,442,516
200,442,517
210,443,518
220,445,517
230,442,518
240,447,516
250,446,518
260,445,518
270,445,517
280,445,517
290,441,516
300,441,517
310,441,518
320,437,518
330,442,517
340,439,517
350,439,517
360,439,517
370,441,518
380,438,515
390,441,517
400,442,516
410,439,518
420,439,517
430,440,517
440,441,517
450,439,517
460,440,516
470,447,515
480,440,517
490,441,517
500,439,516
510,441,516
520,440,516
530,437,516
540,441,517
550,438,517
560,441,518
570,441,517
580,440,516
590,441,517
600,439,516
610,440,517
620,438,516
630,439,516
640,442,517
650,438,517
660,439,516
670,439,517
680,438,517
690,439,517
700,439,517
710,440,516
720,439,518
730,435,515
740,439,516
750,439,517
760,439,517
770,438,516
780,438,517
790,440,517
800,437,516
810,439,517
820,438,517
830,441,516
840,441,516
850,443,517
860,443,516
870,443,516
880,445,518
890,438,518
900,437,516
910,440,517
920,437,517
930,439,517
940,438,517
950,438,517
960,438,516
970,441,517
980,441,517
990,438,517
