timestamp,MQ-135,MQ-7
0,382,522
10,380,515
20,378,513
30,377,512
40,378,515
50,378,512
60,377,514
70,379,512
80,378,514
90,378,512
100,378,513
110,379,514
120,378,514
130,377,514
140,376,514
150,378,513
160,378,512
170,379,512
180,380,514
190,380,515
200,380,514
210,380,515
220,381,514
230,381,513
240,380,514
250,380,514
260,377,515
270,381,512
280,380,514
290,382,513
300,381,514
310,378,513
320,380,513
330,380,514
340,381,513
350,383,514
360,381,513
370,380,512
380,381,512
390,381,512
400,382,514
410,378,514
420,381,513
430,385,513
440,382,512
450,381,512
460,381,513
470,381,513
480,382,513
490,382,515
500,381,514
510,383,513
520,383,514
530,381,512
540,379,513
550,382,512
560,382,514
570,382,514
580,383,512
590,380,513
600,382,513
610,383,513
620,383,512
630,379,514
640,383,514
650,384,512
660,381,513
670,381,512
680,380,514
690,381,512
700,382,512
710,381,514
720,384,512
730,383,513
740,384,514
750,382,513
760,383,514
770,383,514
780,383,515
790,385,512
800,384,514
810,383,512
820,384,515
830,384,513
840,384,514
850,382,514
860,385,514
870,384,513
880,384,515
890,386,513
900,384,514
910,383,514
920,386,514
930,384,514
940,385,514
950,384,514
960,383,514
970,384,514
980,383,512
990,384,513
