timestamp,MQ-135,MQ-7
0,438,523
10,440,516
20,442,519
30,441,516
40,440,516
50,434,517
60,437,515
70,435,517
80,435,515
90,435,518
100,436,518
110,435,515
120,437,516
130,437,517
140,438,516
150,439,517
160,443,517
170,444,518
180,444,517
190,448,519
200,449,518
210,448,516
220,439,518
230,439,517
240,439,518
250,442,518
260,439,517
270,440,517
280,439,515
290,439,518
300,439,518
310,438,517
320,438,517
330,436,517
340,434,516
350,438,519
360,437,517
370,437,516
380,436,516
390,439,518
400,438,516
410,434,516
420,439,517
430,437,515
440,439,516
450,438,517
460,436,515
470,438,517
480,437,516
490,437,517
500,439,517
510,437,517
520,437,518
530,435,518
540,439,518
550,438,517
560,436,517
570,436,517
580,438,517
590,437,515
600,438,516
610,438,518
620,439,516
630,438,517
640,438,516
650,439,516
660,437,517
670,440,516
680,436,517
690,437,516
700,436,516
710,439,516
720,438,515
730,438,517
740,441,517
750,438,517
760,439,517
770,437,517
780,436,516
790,438,517
800,437,516
810,436,515
820,437,517
830,438,518
840,439,516
850,437,518
860,439,517
870,438,516
880,436,516
890,437,518
900,435,517
910,435,516
920,436,516
930,439,517
940,438,517
950,439,517
960,434,517
970,437,517
980,437,517
990,437,518
