timestamp,MQ-135,MQ-7
0,470,346
10,468,354
20,470,356
30,468,356
40,468,355
50,469,358
60,469,357
70,468,358
80,468,360
90,470,358
100,469,359
110,468,357
120,467,358
130,463,360
140,469,358
150,468,361
160,467,358
170,469,359
180,470,360
190,469,357
200,469,357
210,467,357
220,469,359
230,468,357
240,470,357
250,469,358
260,470,360
270,471,359
280,469,361
290,471,358
300,471,361
310,469,359
320,467,359
330,467,359
340,466,359
350,468,358
360,468,357
370,470,360
380,469,359
390,472,359
400,470,361
410,469,358
420,469,360
430,468,360
440,468,358
450,469,360
460,469,357
470,469,358
480,469,359
490,470,359
500,469,359
510,469,359
520,468,359
530,467,360
540,469,360
550,468,359
560,468,358
570,469,359
580,470,359
590,471,359
600,469,360
610,470,358
620,468,359
630,469,359
640,469,357
650,471,360
660,465,360
670,469,358
680,471,359
690,470,358
700,470,359
710,470,358
720,470,359
730,468,358
740,470,358
750,468,361
760,469,358
770,468,358
780,469,359
790,471,358
800,470,360
810,471,357
820,469,358
830,468,362
840,469,358
850,468,359
860,469,359
870,468,358
880,469,360
890,473,359
900,472,360
910,470,358
920,470,358
930,469,358
940,467,358
950,465,361
960,463,357
970,464,360
980,465,359
990,466,358
