timestamp,MQ-135,MQ-7
0,461,349
10,460,356
20,464,358
30,461,357
40,462,358
50,460,358
60,462,358
70,461,360
80,462,360
90,462,361
100,459,359
110,459,360
120,459,360
130,461,360
140,461,360
150,459,359
160,462,359
170,460,360
180,460,358
190,460,360
200,460,358
210,460,362
220,460,361
230,461,359
240,460,361
250,460,358
260,460,362
270,459,362
280,460,362
290,460,362
300,461,362
310,462,361
320,461,361
330,463,361
340,462,362
350,462,360
360,462,360
370,459,361
380,461,358
390,462,362
400,462,360
410,464,361
420,462,363
430,462,362
440,462,362
450,462,361
460,461,361
470,459,361
480,459,360
490,459,363
500,460,361
510,461,363
520,460,362
530,464,361
540,462,363
550,462,359
560,463,362
570,463,362
580,464,360
590,462,361
600,463,359
610,463,360
620,463,362
630,463,359
640,463,362
650,463,360
660,462,360
670,459,362
680,461,360
690,462,362
700,462,358
710,463,361
720,462,362
730,465,361
740,462,365
750,462,360
760,463,361
770,465,361
780,464,360
790,464,362
800,469,360
810,464,361
820,464,363
830,463,361
840,465,362
850,465,359
860,464,362
870,463,363
880,465,358
890,464,364
900,464,362
910,463,361
920,466,362
930,464,360
940,465,363
950,465,358
960,466,361
970,464,363
980,466,360
990,464,363
