timestamp,MQ-135,MQ-7
0,468,347
10,468,355
20,465,358
30,467,355
40,467,360
50,467,357
60,468,360
70,467,359
80,466,359
90,468,359
100,467,359
110,468,360
120,466,360
130,468,359
140,467,360
150,468,359
160,470,361
170,467,360
180,468,359
190,469,361
200,465,360
210,468,358
220,465,360
230,467,358
240,468,360
250,468,360
260,467,360
270,466,359
280,466,358
290,466,361
300,468,359
310,467,361
320,466,360
330,466,358
340,466,361
350,466,359
360,468,360
370,466,360
380,466,361
390,466,360
400,466,358
410,468,359
420,465,360
430,465,361
440,466,362
450,465,359
460,466,361
470,468,361
480,466,359
490,466,359
500,467,357
510,467,362
520,468,360
530,466,360
540,467,360
550,469,359
560,467,360
570,466,361
580,467,358
590,468,360
600,470,360
610,468,360
620,468,359
630,467,360
640,463,360
650,467,359
660,466,360
670,467,360
680,468,359
690,467,360
700,463,358
710,467,359
720,465,361
730,464,360
740,466,360
750,466,358
760,466,360
770,465,359
780,466,360
790,465,360
800,466,359
810,464,359
820,465,359
830,467,361
840,466,362
850,466,361
860,467,360
870,467,360
880,467,360
890,467,361
900,469,358
910,470,360
920,469,361
930,468,359
940,468,361
950,470,358
960,468,361
970,471,360
980,468,361
990,468,360
