timestamp,MQ-135,MQ-7
0,459,350
10,459,355
20,460,358
30,458,357
40,461,357
50,459,360
60,459,358
70,459,360
80,461,358
90,464,358
100,462,361
110,462,359
120,461,358
130,460,359
140,461,359
150,459,358
160,456,359
170,456,361
180,460,359
190,460,359
200,459,360
210,460,358
220,461,362
230,462,358
240,467,361
250,463,360
260,466,358
270,464,360
280,468,358
290,463,360
300,465,361
310,467,358
320,463,360
330,468,361
340,468,359
350,463,361
360,463,360
370,461,362
380,459,359
390,460,360
400,458,360
410,459,358
420,459,363
430,459,359
440,459,361
450,459,361
460,457,360
470,459,363
480,456,360
490,457,361
500,457,362
510,457,361
520,457,360
530,457,359
540,459,362
550,456,361
560,455,359
570,455,360
580,455,360
590,456,361
600,456,361
610,456,359
620,456,361
630,455,359
640,454,360
650,456,360
660,456,360
670,452,360
680,457,359
690,456,361
700,453,362
710,454,358
720,454,362
730,453,361
740,455,360
750,455,362
760,454,361
770,453,360
780,456,360
790,456,360
800,455,360
810,458,360
820,455,360
830,455,360
840,457,359
850,455,362
860,455,361
870,452,360
880,455,359
890,454,360
900,454,361
910,454,359
920,454,361
930,453,361
940,452,359
950,454,362
960,454,360
970,453,359
980,454,359
990,453,359
