timestamp,MQ-135,MQ-7
0,460,483
10,460,478
20,446,474
30,448,473
40,447,475
50,453,473
60,449,474
70,452,473
80,452,473
90,440,471
100,441,469
110,442,470
120,440,471
130,426,469
140,441,473
150,442,470
160,441,470
170,446,470
180,447,472
190,453,474
200,463,474
210,465,475
220,470,478
230,473,477
240,465,478
250,468,476
260,468,479
270,466,477
280,470,477
290,471,478
300,470,477
310,471,477
320,472,477
330,472,478
340,470,479
350,470,477
360,470,477
370,467,476
380,470,478
390,469,478
400,470,476
410,469,477
420,467,477
430,471,478
440,470,479
450,470,477
460,471,478
470,472,477
480,472,477
490,471,479
500,471,476
510,472,478
520,472,479
530,472,477
540,470,478
550,472,476
560,472,479
570,471,476
580,471,477
590,472,478
600,470,475
610,474,478
620,472,479
630,472,477
640,472,479
650,469,476
660,472,478
670,472,478
680,470,478
690,471,477
700,471,477
710,471,477
720,470,476
730,471,476
740,469,477
750,468,476
760,470,477
770,469,477
780,470,476
790,469,477
800,466,475
810,469,476
820,469,475
830,470,477
840,468,476
850,470,476
860,471,477
870,471,476
880,470,476
890,471,478
900,473,477
910,471,477
920,471,477
930,471,476
940,471,479
950,472,477
960,471,477
970,471,478
980,471,476
990,471,478
