timestamp,MQ-135,MQ-7
0,427,523
10,427,517
20,430,518
30,430,518
40,429,516
50,427,517
60,430,518
70,426,516
80,425,516
90,428,518
100,426,517
110,425,517
120,425,516
130,427,517
140,424,515
150,427,517
160,426,517
170,427,517
180,428,515
190,427,517
200,430,516
210,430,517
220,430,517
230,431,517
240,431,516
250,431,517
260,431,517
270,430,516
280,430,516
290,431,517
300,429,518
310,430,518
320,431,516
330,431,516
340,430,518
350,430,516
360,428,519
370,431,516
380,431,517
390,431,517
400,432,515
410,431,517
420,431,517
430,430,515
440,429,518
450,429,517
460,431,517
470,431,518
480,432,517
490,431,517
500,432,516
510,431,517
520,431,517
530,432,519
540,432,517
550,432,516
560,432,517
570,431,518
580,432,516
590,431,519
600,435,517
610,432,517
620,431,518
630,432,515
640,432,518
650,432,517
660,430,516
670,431,516
680,432,516
690,432,517
700,432,517
710,433,517
720,431,518
730,431,517
740,430,517
750,431,516
760,429,516
770,432,516
780,431,518
790,429,517
800,432,516
810,432,517
820,432,518
830,432,516
840,431,517
850,432,516
860,430,518
870,433,518
880,431,518
890,431,517
900,431,518
910,431,517
920,431,517
930,431,517
940,431,517
950,434,515
960,431,517
970,430,517
980,430,517
990,434,516
