timestamp,MQ-135,MQ-7
0,485,500
10,486,492
20,485,493
30,483,491
40,478,492
50,470,488
60,467,487
70,464,488
80,459,485
90,457,486
100,458,485
110,454,484
120,455,486
130,457,483
140,460,486
150,460,486
160,460,487
170,462,487
180,463,486
190,464,486
200,465,486
210,466,485
220,475,490
230,480,490
240,486,491
250,489,491
260,491,490
270,490,493
280,487,491
290,485,492
300,484,491
310,478,490
320,481,491
330,481,490
340,481,491
350,483,489
360,482,489
370,483,490
380,483,490
390,484,491
400,484,489
410,484,490
420,483,490
430,484,490
440,484,490
450,483,491
460,484,490
470,487,490
480,485,490
490,486,491
500,484,491
510,485,491
520,484,490
530,484,490
540,485,491
550,487,490
560,486,490
570,485,490
580,486,490
590,486,491
600,486,491
610,484,491
620,487,491
630,485,491
640,485,492
650,485,490
660,485,490
670,486,491
680,485,491
690,487,490
700,485,490
710,486,489
720,485,490
730,485,490
740,485,489
750,485,490
760,485,490
770,484,490
780,486,490
790,485,490
800,485,490
810,485,491
820,485,491
830,486,491
840,485,489
850,486,491
860,484,490
870,488,491
880,487,490
890,486,491
900,485,490
910,486,491
920,483,491
930,486,490
940,487,490
950,487,490
960,486,489
970,483,490
980,486,490
990,484,491
