timestamp,MQ-135,MQ-7
0,451,524
10,450,517
20,449,517
30,447,518
40,444,515
50,443,516
60,441,517
70,442,517
80,445,515
90,443,517
100,442,517
110,444,518
120,443,516
130,443,517
140,446,516
150,444,517
160,444,516
170,444,517
180,443,515
190,445,517
200,447,517
210,444,515
220,448,517
230,449,518
240,449,518
250,447,517
260,448,516
270,448,515
280,448,516
290,448,514
300,450,517
310,450,517
320,449,516
330,451,518
340,451,518
350,449,517
360,450,518
370,450,517
380,454,517
390,450,517
400,450,518
410,454,518
420,449,517
430,450,518
440,451,518
450,448,516
460,451,517
470,449,516
480,450,517
490,450,517
500,450,516
510,452,517
520,450,516
530,446,517
540,450,516
550,450,516
560,451,516
570,451,516
580,452,516
590,451,516
600,452,515
610,452,516
620,451,517
630,450,517
640,457,516
650,453,517
660,452,517
670,451,516
680,452,516
690,453,518
700,452,517
710,451,517
720,453,516
730,451,518
740,452,517
750,452,516
760,451,517
770,447,516
780,450,518
790,449,518
800,449,517
810,447,517
820,451,516
830,449,518
840,451,517
850,449,517
860,449,518
870,449,517
880,450,517
890,449,516
900,449,516
910,451,518
920,448,518
930,447,518
940,448,517
950,447,516
960,448,518
970,449,517
980,449,517
990,448,516
