timestamp,MQ-135,MQ-7
0,465,351
10,466,356
20,466,356
30,466,357
40,467,358
50,467,358
60,466,358
70,466,359
80,464,359
90,466,358
100,465,359
110,467,359
120,467,357
130,466,359
140,466,359
150,466,359
160,467,359
170,466,359
180,467,358
190,465,359
200,467,360
210,467,360
220,466,359
230,466,359
240,467,358
250,466,360
260,466,359
270,466,360
280,466,359
290,466,360
300,466,359
310,465,358
320,464,361
330,465,358
340,465,358
350,465,360
360,465,360
370,465,360
380,466,358
390,465,361
400,465,358
410,466,358
420,466,360
430,466,359
440,466,359
450,466,360
460,466,359
470,466,360
480,466,359
490,465,360
500,467,359
510,465,359
520,466,361
530,467,361
540,466,361
550,465,362
560,466,358
570,467,360
580,467,360
590,466,361
600,466,360
610,466,360
620,467,361
630,468,359
640,471,359
650,467,359
660,464,358
670,467,362
680,467,360
690,467,360
700,466,359
710,466,360
720,466,360
730,466,360
740,467,359
750,466,360
760,467,359
770,463,360
780,465,360
790,465,362
800,465,358
810,466,358
820,466,359
830,467,360
840,469,359
850,466,361
860,466,361
870,465,360
880,465,360
890,465,361
900,463,361
910,465,358
920,466,361
930,465,358
940,465,359
950,464,360
960,465,360
970,465,361
980,466,361
990,463,360
