timestamp,MQ-135,MQ-7
0,466,334
10,462,347
20,464,349
30,463,353
40,463,353
50,463,354
60,462,354
70,464,354
80,463,356
90,464,355
100,462,356
110,463,356
120,463,356
130,463,355
140,464,356
150,465,357
160,463,355
170,464,357
180,465,356
190,465,355
200,465,357
210,465,355
220,464,356
230,465,358
240,465,356
250,467,357
260,461,357
270,465,356
280,466,358
290,466,357
300,468,357
310,466,355
320,465,356
330,466,357
340,466,356
350,466,357
360,465,356
370,468,357
380,469,357
390,465,356
400,464,357
410,466,356
420,468,358
430,467,356
440,465,358
450,466,359
460,466,355
470,465,356
480,468,357
490,464,357
500,465,357
510,465,357
520,465,357
530,466,356
540,465,358
550,464,359
560,467,357
570,465,357
580,465,357
590,464,358
600,465,357
610,465,358
620,466,357
630,467,358
640,466,358
650,466,359
660,466,359
670,466,357
680,468,356
690,465,357
700,466,359
710,466,358
720,467,358
730,467,358
740,464,357
750,466,358
760,465,357
770,465,356
780,465,358
790,465,358
800,465,360
810,466,357
820,466,358
830,466,358
840,465,359
850,465,358
860,466,357
870,467,357
880,466,358
890,466,357
900,466,357
910,466,357
920,466,357
930,466,358
940,466,359
950,463,358
960,466,357
970,465,359
980,467,357
990,466,358
