timestamp,MQ-135,MQ-7
0,464,486
10,458,477
20,457,479
30,455,475
40,454,476
50,428,470
60,444,473
70,447,474
80,451,475
90,452,474
100,454,477
110,455,475
120,452,475
130,453,474
140,454,475
150,454,476
160,454,476
170,451,476
180,454,474
190,454,473
200,454,476
210,455,474
220,455,476
230,455,475
240,450,475
250,460,476
260,457,475
270,464,478
280,465,478
290,472,479
300,469,477
310,468,478
320,468,478
330,468,478
340,468,477
350,466,477
360,464,477
370,466,479
380,470,477
390,469,478
400,469,477
410,471,476
420,470,479
430,471,477
440,468,478
450,468,479
460,468,476
470,468,479
480,468,477
490,467,479
500,470,478
510,469,476
520,468,479
530,467,478
540,467,477
550,466,479
560,468,477
570,466,478
580,469,476
590,469,479
600,470,478
610,470,477
620,470,479
630,471,477
640,468,478
650,468,476
660,470,478
670,471,477
680,470,478
690,471,479
700,472,479
710,471,478
720,472,479
730,471,478
740,469,479
750,470,479
760,473,478
770,472,479
780,473,479
790,472,479
800,472,479
810,471,479
820,469,479
830,472,477
840,470,478
850,469,478
860,469,477
870,470,479
880,469,478
890,472,479
900,469,480
910,471,479
920,470,479
930,471,478
940,471,479
950,468,478
960,470,477
970,469,477
980,469,479
990,470,477
