timestamp,MQ-135,MQ-7
0,365,516
10,365,505
20,362,505
30,356,503
40,357,504
50,359,503
60,359,504
70,359,503
80,359,504
90,360,505
100,360,504
110,361,503
120,359,503
130,361,503
140,359,504
150,362,504
160,362,505
170,363,503
180,362,504
190,361,505
200,362,502
210,361,503
220,360,504
230,361,503
240,363,504
250,361,502
260,362,504
270,362,502
280,363,504
290,361,504
300,366,503
310,360,506
320,363,505
330,363,503
340,363,503
350,362,501
360,365,505
370,365,504
380,364,502
390,365,506
400,365,503
410,363,505
420,365,504
430,364,504
440,364,504
450,365,502
460,364,505
470,365,504
480,365,504
490,365,504
500,363,504
510,364,504
520,364,505
530,364,503
540,365,504
550,361,503
560,365,504
570,365,505
580,365,502
590,365,504
600,364,503
610,363,505
620,363,503
630,363,502
640,364,504
650,363,503
660,363,503
670,364,504
680,367,504
690,366,505
700,364,504
710,361,505
720,362,504
730,359,503
740,360,505
750,359,503
760,360,503
770,358,503
780,360,502
790,361,503
800,364,502
810,366,505
820,364,504
830,361,503
840,363,504
850,366,505
860,366,503
870,365,505
880,361,504
890,361,505
900,362,503
910,362,503
920,365,504
930,363,503
940,363,504
950,362,503
960,363,503
970,362,503
980,363,504
990,362,503
