timestamp,MQ-135,MQ-7
0,462,351
10,462,360
20,459,358
30,458,361
40,461,359
50,461,358
60,459,361
70,461,359
80,460,361
90,459,359
100,461,359
110,460,361
120,460,360
130,458,361
140,460,360
150,459,360
160,461,361
170,461,360
180,459,360
190,461,361
200,462,360
210,461,363
220,462,359
230,460,360
240,461,359
250,461,361
260,461,362
270,463,359
280,461,361
290,464,360
300,460,359
310,462,361
320,462,358
330,462,362
340,462,360
350,463,358
360,463,363
370,464,360
380,462,363
390,464,361
400,464,361
410,464,363
420,463,361
430,466,362
440,463,361
450,463,361
460,464,363
470,464,361
480,464,362
490,463,361
500,464,362
510,467,364
520,462,360
530,462,362
540,463,361
550,461,362
560,462,361
570,462,361
580,462,361
590,461,360
600,462,360
610,462,362
620,466,362
630,460,361
640,461,360
650,462,362
660,462,363
670,463,360
680,462,361
690,461,360
700,466,361
710,464,359
720,462,359
730,462,360
740,461,360
750,463,360
760,460,362
770,461,360
780,462,363
790,463,360
800,463,360
810,461,362
820,459,361
830,462,363
840,461,359
850,462,361
860,462,361
870,460,359
880,461,361
890,462,360
900,460,362
910,461,361
920,462,360
930,463,361
940,463,361
950,462,363
960,463,361
970,461,359
980,463,361
990,461,360
