timestamp,MQ-135,MQ-7
0,389,524
10,388,516
20,388,516
30,388,515
40,385,515
50,384,515
60,386,515
70,384,515
80,386,515
90,384,516
100,383,516
110,383,516
120,383,514
130,384,515
140,383,515
150,385,515
160,385,515
170,387,515
180,387,516
190,386,517
200,388,516
210,388,516
220,389,514
230,389,515
240,386,514
250,389,516
260,391,516
270,389,514
280,388,515
290,389,516
300,388,514
310,389,515
320,388,515
330,384,516
340,387,515
350,389,516
360,388,515
370,389,515
380,388,515
390,389,516
400,388,517
410,389,515
420,389,515
430,389,516
440,389,515
450,387,516
460,387,515
470,388,517
480,392,515
490,386,515
500,389,516
510,390,516
520,388,515
530,392,516
540,389,516
550,387,515
560,391,516
570,387,516
580,390,516
590,388,515
600,389,516
610,390,517
620,390,516
630,390,516
640,391,517
650,390,515
660,390,517
670,390,516
680,392,515
690,389,515
700,389,517
710,389,516
720,388,516
730,389,517
740,389,515
750,388,516
760,387,517
770,388,516
780,389,516
790,389,516
800,386,516
810,387,514
820,387,516
830,387,515
840,389,516
850,384,516
860,387,515
870,387,517
880,385,515
890,385,515
900,385,515
910,384,514
920,384,516
930,385,516
940,385,515
950,384,517
960,383,515
970,382,514
980,381,517
990,384,517
