timestamp,MQ-135,MQ-7
0,463,485
10,463,477
20,447,472
30,442,472
40,433,470
50,415,465
60,431,466
70,412,465
80,396,461
90,372,455
100,379,455
110,381,456
120,391,459
130,411,465
140,412,464
150,408,461
160,409,463
170,407,463
180,411,463
190,405,461
200,410,464
210,412,461
220,415,464
230,419,466
240,418,464
250,424,467
260,435,470
270,448,472
280,455,475
290,453,473
300,452,474
310,450,473
320,451,472
330,446,473
340,446,470
350,448,473
360,447,471
370,451,474
380,451,473
390,450,472
400,452,471
410,451,473
420,452,473
430,453,472
440,453,473
450,453,474
460,452,472
470,456,471
480,456,473
490,454,472
500,455,475
510,455,473
520,455,473
530,453,474
540,454,472
550,452,473
560,451,473
570,452,472
580,453,472
590,452,473
600,454,474
610,454,472
620,455,473
630,454,474
640,453,473
650,455,475
660,452,471
670,453,474
680,454,471
690,454,471
700,454,474
710,452,472
720,455,473
730,457,474
740,456,473
750,456,474
760,453,471
770,454,473
780,453,471
790,453,471
800,452,474
810,456,472
820,455,474
830,457,473
840,455,472
850,456,474
860,455,473
870,454,473
880,453,474
890,453,472
900,452,472
910,453,471
920,454,471
930,453,473
940,452,470
950,453,473
960,455,473
970,455,474
980,456,474
990,456,474
