timestamp,MQ-135,MQ-7
0,460,349
10,459,357
20,461,357
30,459,357
40,460,357
50,460,359
60,460,359
70,460,358
80,460,358
90,460,358
100,461,358
110,460,360
120,461,357
130,459,360
140,459,358
150,459,358
160,460,359
170,463,358
180,461,358
190,460,359
200,463,359
210,458,361
220,461,361
230,461,360
240,462,360
250,464,360
260,462,360
270,462,359
280,463,360
290,462,360
300,462,361
310,463,362
320,464,359
330,463,361
340,462,360
350,463,361
360,461,362
370,465,360
380,464,360
390,463,360
400,464,360
410,463,361
420,465,360
430,464,361
440,462,359
450,462,361
460,460,363
470,463,360
480,463,360
490,463,362
500,465,362
510,464,362
520,463,358
530,463,362
540,462,359
550,463,360
560,464,363
570,462,361
580,463,361
590,462,360
600,463,362
610,462,361
620,462,360
630,466,363
640,463,360
650,459,360
660,462,363
670,461,360
680,463,364
690,463,360
700,462,361
710,463,363
720,464,359
730,465,363
740,462,360
750,462,360
760,462,362
770,461,359
780,464,360
790,464,360
800,463,361
810,465,361
820,463,359
830,463,363
840,468,361
850,463,362
860,462,363
870,462,360
880,463,361
890,464,361
900,464,360
910,462,364
920,464,361
930,461,361
940,466,361
950,462,361
960,463,362
970,464,360
980,463,361
990,462,360
