timestamp,MQ-135,MQ-7
0,309,480
10,310,475
20,310,475
30,310,473
40,308,474
50,309,475
60,302,472
70,307,473
80,306,474
90,305,475
100,305,471
110,305,473
120,305,472
130,305,472
140,308,474
150,309,473
160,305,473
170,311,474
180,303,472
190,303,470
200,299,472
210,302,472
220,298,471
230,299,470
240,304,473
250,305,471
260,305,471
270,305,472
280,306,473
290,306,472
300,306,471
310,305,471
320,308,473
330,305,470
340,306,474
350,305,472
360,304,471
370,305,473
380,306,471
390,305,472
400,305,473
410,306,471
420,306,472
430,307,471
440,306,472
450,306,470
460,307,472
470,306,471
480,307,472
490,309,472
500,307,473
510,306,472
520,309,472
530,306,472
540,306,472
550,307,473
560,308,473
570,309,473
580,307,473
590,305,473
600,306,473
610,308,472
620,308,470
630,306,472
640,306,473
650,309,471
660,307,471
670,307,472
680,307,471
690,308,473
700,308,471
710,308,472
720,308,472
730,312,471
740,306,472
750,307,471
760,307,471
770,307,472
780,307,471
790,307,472
800,308,472
810,308,472
820,308,473
830,307,471
840,308,471
850,305,470
860,306,471
870,307,472
880,309,472
890,306,472
900,308,471
910,309,470
920,308,472
930,309,471
940,307,472
950,307,470
960,307,470
970,306,471
980,306,471
990,306,472
