timestamp,MQ-135,MQ-7
0,450,481
10,458,474
20,435,469
30,439,468
40,442,471
50,429,468
60,429,465
70,430,466
80,402,462
90,413,459
100,419,464
110,400,461
120,401,458
130,390,458
140,405,461
150,403,460
160,398,458
170,404,460
180,399,458
190,390,457
200,420,463
210,433,467
220,436,468
230,426,468
240,426,465
250,423,465
260,425,463
270,442,470
280,457,471
290,448,470
300,456,473
310,457,472
320,452,469
330,449,472
340,456,472
350,458,474
360,462,473
370,463,473
380,460,475
390,461,473
400,461,474
410,460,474
420,458,473
430,460,474
440,459,472
450,459,472
460,460,473
470,458,474
480,459,474
490,458,470
500,459,474
510,459,475
520,462,473
530,461,473
540,461,473
550,461,475
560,462,473
570,461,473
580,461,474
590,460,473
600,460,473
610,463,473
620,461,473
630,462,475
640,462,474
650,463,473
660,462,473
670,463,474
680,462,475
690,463,472
700,460,473
710,464,474
720,463,473
730,462,474
740,465,475
750,462,473
760,462,475
770,463,473
780,463,475
790,463,475
800,461,472
810,463,474
820,463,475
830,464,475
840,464,472
850,460,474
860,463,474
870,462,475
880,463,475
890,465,474
900,463,474
910,465,474
920,461,474
930,464,473
940,464,472
950,463,475
960,465,475
970,460,474
980,464,473
990,464,472
