timestamp,MQ-135,MQ-7
0,464,334
10,463,345
20,463,350
30,463,350
40,462,352
50,463,355
60,462,353
70,463,355
80,459,354
90,462,354
100,460,356
110,462,354
120,463,355
130,462,356
140,463,355
150,463,354
160,462,355
170,463,356
180,463,354
190,465,355
200,464,357
210,465,355
220,464,358
230,464,354
240,464,354
250,463,355
260,462,356
270,459,357
280,459,355
290,462,356
300,460,358
310,462,357
320,461,357
330,465,355
340,462,359
350,463,358
360,462,355
370,464,357
380,463,356
390,463,356
400,462,357
410,463,357
420,462,358
430,462,358
440,463,358
450,460,357
460,463,358
470,461,356
480,459,355
490,460,357
500,466,358
510,462,357
520,463,358
530,461,355
540,463,358
550,462,357
560,462,356
570,462,357
580,466,356
590,463,357
600,463,357
610,463,358
620,463,358
630,463,357
640,463,357
650,461,357
660,463,357
670,464,357
680,463,356
690,462,356
700,463,356
710,462,357
720,461,358
730,461,355
740,463,358
750,461,358
760,459,358
770,463,357
780,461,358
790,461,357
800,465,358
810,462,357
820,464,358
830,466,358
840,462,358
850,463,357
860,463,357
870,465,357
880,464,357
890,463,358
900,462,359
910,462,357
920,465,358
930,463,358
940,460,358
950,461,359
960,465,357
970,462,359
980,459,357
990,463,358
