timestamp,MQ-135,MQ-7
0,442,525
10,443,518
20,442,519
30,444,520
40,441,518
50,442,519
60,438,518
70,441,518
80,441,519
90,442,518
100,442,519
110,440,518
120,441,519
130,441,519
140,439,518
150,441,519
160,440,518
170,441,519
180,441,518
190,442,518
200,441,518
210,443,519
220,443,518
230,441,517
240,442,518
250,441,519
260,441,518
270,441,518
280,446,518
290,445,518
300,447,517
310,446,518
320,446,519
330,445,518
340,445,520
350,444,519
360,447,518
370,449,519
380,446,519
390,445,517
400,445,518
410,446,519
420,445,520
430,444,518
440,447,519
450,444,519
460,444,519
470,444,518
480,446,520
490,448,519
500,446,517
510,446,518
520,446,517
530,448,518
540,448,517
550,444,517
560,445,518
570,447,519
580,447,519
590,445,519
600,444,518
610,445,519
620,445,520
630,447,517
640,446,520
650,445,518
660,445,518
670,445,519
680,446,519
690,444,518
700,447,520
710,447,519
720,446,518
730,450,520
740,449,519
750,450,519
760,446,518
770,447,520
780,447,519
790,447,519
800,447,519
810,447,519
820,447,519
830,447,519
840,447,519
850,447,519
860,448,520
870,447,519
880,444,519
890,443,519
900,447,519
910,447,519
920,447,520
930,449,518
940,447,519
950,447,518
960,447,519
970,448,519
980,450,518
990,449,518
