timestamp,MQ-135,MQ-7
0,313,478
10,316,472
20,310,470
30,304,470
40,307,469
50,309,470
60,309,470
70,313,470
80,313,469
90,308,471
100,305,468
110,306,469
120,303,470
130,304,466
140,304,470
150,304,467
160,303,469
170,303,468
180,307,468
190,312,469
200,318,468
210,316,470
220,304,467
230,314,469
240,308,470
250,312,469
260,314,469
270,313,471
280,312,469
290,310,469
300,313,470
310,313,471
320,310,469
330,312,469
340,313,470
350,314,468
360,312,470
370,312,468
380,311,469
390,312,469
400,314,469
410,315,470
420,312,470
430,314,467
440,314,470
450,312,466
460,313,469
470,314,468
480,313,470
490,314,470
500,315,469
510,315,469
520,314,469
530,314,469
540,313,470
550,314,467
560,314,469
570,314,468
580,314,469
590,314,470
600,314,468
610,314,468
620,314,469
630,314,470
640,314,469
650,314,468
660,313,469
670,312,470
680,313,468
690,314,469
700,313,468
710,314,468
720,313,470
730,313,468
740,314,470
750,313,467
760,313,468
770,314,469
780,313,468
790,313,467
800,313,467
810,311,469
820,314,469
830,313,468
840,314,469
850,313,469
860,313,468
870,313,469
880,314,467
890,314,469
900,313,468
910,314,468
920,313,468
930,314,467
940,314,469
950,314,469
960,314,469
970,314,468
980,312,468
990,314,469
