timestamp,MQ-135,MQ-7
0,437,522
10,433,518
20,432,519
30,435,517
40,434,518
50,433,517
60,435,518
70,431,517
80,430,517
90,422,516
100,422,516
110,423,515
120,422,516
130,424,514
140,423,516
150,423,516
160,426,517
170,428,516
180,432,516
190,436,516
200,436,518
210,436,517
220,437,517
230,438,516
240,433,517
250,433,518
260,434,518
270,438,515
280,436,518
290,435,517
300,436,518
310,436,515
320,436,518
330,436,518
340,438,516
350,439,516
360,439,517
370,438,517
380,437,517
390,439,516
400,439,518
410,439,518
420,437,518
430,439,517
440,443,518
450,439,518
460,441,517
470,442,517
480,441,518
490,443,518
500,442,517
510,441,516
520,442,517
530,443,517
540,440,518
550,442,517
560,444,517
570,442,517
580,442,518
590,442,517
600,442,518
610,442,518
620,441,518
630,444,518
640,444,518
650,441,517
660,439,518
670,441,516
680,442,516
690,444,519
700,443,516
710,441,518
720,442,516
730,441,517
740,446,518
750,442,517
760,444,517
770,441,518
780,443,516
790,444,518
800,442,516
810,442,519
820,442,518
830,441,518
840,442,518
850,442,518
860,444,517
870,442,516
880,442,517
890,441,517
900,438,517
910,438,518
920,440,516
930,443,517
940,442,519
950,439,518
960,440,517
970,441,518
980,442,518
990,437,517
