timestamp,MQ-135,MQ-7
0,465,345
10,462,353
20,462,356
30,464,355
40,463,357
50,465,359
60,465,356
70,464,359
80,463,357
90,467,357
100,463,358
110,463,357
120,463,359
130,463,357
140,463,356
150,464,360
160,466,358
170,466,361
180,467,360
190,465,359
200,464,362
210,462,357
220,462,360
230,464,358
240,463,359
250,465,361
260,464,358
270,463,360
280,464,357
290,464,358
300,462,360
310,463,357
320,464,359
330,464,359
340,464,358
350,464,361
360,463,359
370,463,360
380,465,359
390,465,358
400,464,360
410,462,358
420,462,358
430,466,359
440,461,359
450,463,361
460,465,357
470,464,360
480,464,358
490,464,358
500,465,361
510,464,358
520,463,360
530,463,359
540,463,358
550,463,361
560,463,357
570,464,360
580,465,359
590,465,359
600,465,359
610,463,357
620,463,361
630,463,358
640,462,358
650,462,358
660,464,357
670,465,360
680,464,359
690,465,359
700,465,360
710,465,357
720,464,360
730,464,359
740,464,360
750,463,361
760,462,359
770,466,359
780,467,359
790,464,360
800,467,360
810,465,359
820,464,360
830,461,359
840,464,360
850,464,359
860,465,358
870,467,361
880,465,358
890,463,357
900,466,359
910,465,358
920,463,359
930,464,358
940,464,359
950,464,360
960,463,359
970,464,360
980,465,359
990,465,358
