timestamp,MQ-135,MQ-7
0,311,471
10,310,469
20,312,468
30,310,467
40,310,466
50,314,468
60,315,468
70,307,466
80,312,466
90,310,468
100,315,467
110,314,467
120,314,466
130,316,467
140,316,468
150,320,468
160,317,468
170,313,468
180,317,467
190,316,467
200,310,465
210,313,467
220,317,468
230,317,466
240,318,467
250,316,465
260,318,468
270,318,468
280,319,467
290,318,467
300,320,466
310,317,467
320,318,466
330,319,467
340,319,468
350,318,466
360,318,467
370,319,467
380,320,466
390,321,468
400,316,466
410,320,469
420,317,466
430,319,467
440,320,466
450,319,465
460,321,469
470,320,467
480,319,468
490,320,468
500,322,467
510,319,469
520,318,464
530,320,466
540,319,467
550,319,467
560,319,469
570,319,467
580,319,468
590,320,468
600,319,468
610,321,468
620,319,465
630,321,467
640,320,468
650,321,468
660,317,468
670,322,467
680,321,467
690,320,468
700,321,467
710,320,469
720,321,466
730,317,466
740,319,468
750,320,465
760,320,467
770,318,466
780,325,466
790,321,469
800,321,468
810,320,467
820,320,467
830,317,467
840,320,468
850,322,466
860,318,466
870,321,467
880,321,469
890,321,467
900,321,468
910,323,467
920,320,466
930,319,468
940,320,468
950,320,468
960,320,467
970,320,467
980,320,468
990,321,467
