timestamp,MQ-135,MQ-7
0,459,524
10,460,520
20,459,518
30,459,519
40,457,518
50,457,517
60,455,518
70,457,517
80,455,518
90,454,519
100,456,517
110,456,517
120,457,518
130,456,518
140,458,519
150,455,518
160,455,516
170,458,519
180,455,518
190,458,517
200,458,519
210,457,517
220,459,519
230,459,517
240,458,518
250,457,517
260,458,518
270,459,518
280,459,518
290,460,519
300,464,518
310,461,519
320,460,519
330,460,517
340,460,518
350,461,518
360,462,518
370,460,518
380,461,518
390,464,518
400,462,516
410,462,518
420,463,518
430,460,517
440,462,519
450,463,518
460,460,518
470,461,518
480,463,519
490,461,518
500,462,519
510,463,518
520,457,518
530,453,518
540,458,518
550,461,519
560,462,518
570,460,518
580,459,518
590,460,518
600,462,518
610,461,518
620,458,519
630,460,519
640,458,518
650,460,519
660,459,518
670,461,518
680,458,518
690,462,518
700,459,519
710,462,518
720,455,518
730,457,518
740,456,519
750,456,518
760,457,518
770,458,518
780,456,518
790,462,518
800,456,519
810,452,517
820,454,517
830,456,518
840,460,517
850,458,519
860,460,519
870,459,517
880,458,518
890,457,519
900,457,518
910,455,516
920,456,518
930,457,518
940,457,517
950,459,517
960,459,517
970,457,517
980,459,518
990,460,517
