timestamp,MQ-135,MQ-7
0,463,352
10,463,358
20,461,357
30,462,360
40,463,358
50,463,362
60,462,360
70,462,357
80,462,360
90,462,359
100,462,357
110,461,359
120,461,359
130,462,361
140,462,359
150,462,360
160,460,361
170,462,361
180,461,361
190,462,358
200,461,360
210,462,362
220,462,361
230,462,362
240,462,360
250,462,363
260,461,361
270,464,360
280,462,361
290,463,360
300,462,362
310,465,360
320,462,361
330,463,362
340,465,360
350,465,362
360,465,361
370,465,360
380,465,363
390,465,359
400,465,362
410,467,359
420,465,360
430,465,363
440,463,359
450,465,361
460,461,362
470,464,361
480,464,364
490,466,360
500,461,361
510,465,359
520,462,361
530,468,362
540,465,360
550,465,362
560,464,360
570,465,360
580,464,363
590,464,360
600,462,360
610,466,362
620,467,361
630,466,362
640,466,361
650,464,361
660,466,360
670,464,361
680,465,362
690,464,360
700,464,361
710,465,360
720,466,360
730,463,363
740,468,360
750,465,360
760,464,362
770,466,360
780,465,364
790,466,360
800,466,362
810,468,362
820,463,360
830,466,361
840,465,359
850,465,362
860,466,361
870,466,360
880,464,362
890,466,359
900,462,363
910,465,360
920,466,360
930,465,363
940,466,360
950,467,362
960,466,360
970,465,360
980,464,363
990,465,360
