timestamp,MQ-135,MQ-7
0,301,468
10,294,464
20,305,465
30,301,466
40,302,464
50,300,464
60,302,464
70,303,465
80,303,465
90,303,462
100,302,465
110,303,463
120,304,463
130,305,466
140,305,464
150,305,464
160,305,464
170,305,463
180,304,465
190,305,463
200,304,464
210,307,466
220,310,464
230,312,466
240,312,465
250,308,465
260,313,465
270,308,466
280,315,466
290,314,465
300,306,466
310,312,466
320,310,466
330,313,466
340,314,464
350,313,466
360,314,465
370,315,465
380,311,466
390,310,466
400,312,466
410,315,465
420,313,465
430,311,464
440,310,465
450,313,466
460,312,466
470,313,465
480,314,467
490,314,465
500,312,466
510,313,466
520,314,467
530,314,466
540,312,465
550,311,466
560,311,466
570,314,466
580,314,468
590,312,465
600,313,466
610,313,465
620,314,466
630,314,466
640,314,465
650,315,466
660,314,466
670,313,466
680,315,466
690,314,465
700,312,466
710,310,466
720,316,465
730,314,465
740,315,465
750,315,465
760,315,464
770,315,464
780,317,464
790,316,465
800,316,466
810,315,466
820,316,466
830,317,465
840,318,466
850,317,468
860,316,466
870,317,465
880,316,467
890,316,465
900,317,465
910,315,464
920,315,465
930,318,465
940,312,465
950,316,467
960,315,465
970,315,465
980,317,467
990,317,466
