timestamp,MQ-135,MQ-7
0,460,351
10,461,356
20,459,358
30,461,358
40,460,357
50,461,360
60,459,359
70,462,360
80,460,361
90,458,359
100,460,361
110,460,358
120,461,358
130,459,363
140,460,359
150,461,361
160,459,361
170,460,359
180,461,363
190,460,359
200,460,362
210,461,361
220,460,360
230,461,361
240,460,361
250,461,361
260,462,361
270,461,360
280,461,363
290,462,360
300,461,362
310,462,360
320,461,360
330,461,360
340,461,359
350,461,361
360,460,360
370,462,361
380,462,360
390,462,359
400,462,360
410,461,360
420,461,360
430,462,361
440,461,360
450,461,360
460,460,362
470,462,359
480,461,360
490,460,360
500,461,361
510,461,358
520,462,359
530,461,363
540,462,361
550,460,362
560,461,360
570,461,361
580,459,362
590,460,359
600,461,361
610,461,360
620,460,359
630,461,361
640,460,360
650,461,361
660,458,360
670,460,361
680,461,363
690,460,360
700,461,362
710,463,360
720,461,359
730,461,361
740,461,359
750,461,360
760,463,360
770,461,360
780,462,361
790,461,358
800,464,360
810,462,359
820,461,360
830,460,362
840,460,359
850,461,361
860,461,358
870,461,360
880,461,362
890,461,359
900,461,362
910,460,359
920,461,358
930,461,363
940,460,358
950,461,362
960,461,360
970,464,360
980,460,362
990,460,358
