timestamp,MQ-135,MQ-7
0,462,351
10,461,358
20,463,359
30,461,361
40,461,360
50,461,360
60,461,359
70,461,359
80,463,361
90,463,360
100,461,359
110,462,359
120,461,360
130,464,360
140,461,360
150,461,359
160,462,360
170,461,358
180,463,359
190,463,360
200,463,360
210,463,361
220,463,360
230,465,361
240,463,359
250,462,359
260,462,362
270,461,360
280,463,360
290,463,359
300,463,360
310,463,361
320,462,360
330,459,360
340,463,360
350,463,360
360,462,360
370,462,361
380,462,362
390,462,362
400,464,361
410,465,363
420,462,360
430,464,361
440,464,360
450,465,360
460,466,361
470,462,360
480,462,361
490,465,360
500,463,359
510,463,361
520,463,360
530,464,361
540,463,361
550,462,359
560,462,361
570,462,361
580,462,362
590,464,363
600,463,361
610,463,361
620,464,359
630,464,360
640,463,361
650,464,362
660,463,360
670,463,361
680,463,361
690,463,362
700,463,360
710,464,362
720,463,359
730,463,360
740,463,362
750,463,360
760,463,361
770,463,360
780,461,362
790,463,362
800,463,361
810,462,362
820,462,360
830,464,362
840,463,360
850,463,361
860,461,361
870,463,362
880,462,360
890,462,360
900,463,360
910,463,361
920,463,360
930,463,361
940,463,361
950,463,360
960,463,361
970,463,360
980,462,360
990,463,360
