timestamp,MQ-135,MQ-7
0,312,472
10,298,465
20,307,466
30,314,464
40,307,466
50,306,465
60,300,463
70,301,464
80,305,463
90,303,463
100,304,462
110,305,465
120,306,465
130,305,463
140,308,466
150,306,463
160,312,465
170,313,467
180,312,465
190,316,468
200,318,467
210,314,466
220,313,465
230,315,466
240,303,465
250,319,467
260,315,467
270,316,467
280,321,466
290,319,468
300,320,467
310,318,467
320,319,468
330,319,467
340,319,467
350,319,468
360,319,467
370,318,466
380,318,465
390,317,468
400,318,465
410,317,466
420,318,467
430,317,466
440,318,466
450,318,467
460,317,467
470,317,466
480,316,466
490,318,466
500,319,467
510,316,467
520,318,466
530,319,467
540,318,467
550,318,467
560,318,467
570,318,467
580,315,465
590,319,468
600,317,467
610,317,466
620,318,465
630,318,465
640,317,467
650,318,467
660,317,466
670,319,466
680,317,467
690,318,468
700,319,467
710,317,465
720,317,466
730,318,466
740,318,468
750,318,466
760,319,467
770,319,467
780,317,467
790,320,466
800,319,466
810,319,468
820,317,467
830,321,464
840,319,468
850,318,467
860,319,467
870,319,467
880,318,467
890,318,466
900,319,467
910,319,467
920,321,467
930,318,465
940,318,466
950,319,466
960,318,466
970,319,466
980,319,466
990,317,466
