timestamp,MQ-135,MQ-7
0,460,351
10,459,357
20,459,359
30,460,359
40,458,359
50,460,359
60,460,358
70,460,360
80,457,360
90,461,360
100,459,360
110,461,360
120,456,359
130,459,358
140,459,359
150,458,360
160,456,359
170,459,362
180,459,357
190,459,361
200,457,359
210,458,359
220,460,360
230,460,358
240,459,361
250,459,360
260,460,359
270,461,362
280,458,359
290,460,361
300,460,361
310,460,358
320,460,362
330,464,359
340,461,361
350,460,362
360,462,361
370,463,362
380,463,361
390,461,362
400,461,361
410,460,362
420,462,363
430,461,360
440,462,362
450,459,362
460,460,360
470,459,362
480,462,359
490,460,361
500,460,360
510,460,360
520,460,364
530,461,360
540,460,362
550,459,360
560,459,360
570,461,361
580,461,360
590,460,363
600,460,362
610,460,360
620,461,362
630,461,361
640,460,362
650,461,362
660,459,360
670,460,362
680,459,361
690,458,361
700,459,363
710,460,360
720,461,363
730,460,361
740,461,361
750,461,361
760,459,359
770,461,362
780,461,360
790,461,362
800,461,361
810,460,360
820,461,363
830,460,359
840,460,362
850,461,361
860,460,360
870,461,364
880,460,359
890,460,363
900,460,362
910,460,363
920,459,363
930,460,360
940,460,362
950,459,360
960,460,359
970,458,361
980,461,359
990,459,361
