timestamp,MQ-135,MQ-7
0,441,524
10,442,517
20,443,518
30,441,518
40,440,518
50,439,516
60,435,516
70,435,516
80,435,515
90,435,517
100,435,517
110,435,515
120,436,516
130,435,517
140,435,518
150,435,518
160,437,516
170,437,517
180,441,518
190,438,517
200,439,516
210,440,517
220,435,519
230,441,517
240,442,519
250,443,518
260,443,518
270,444,517
280,443,518
290,439,517
300,441,518
310,441,517
320,441,517
330,441,517
340,445,517
350,441,517
360,444,518
370,443,517
380,441,517
390,442,517
400,441,517
410,443,518
420,444,517
430,443,518
440,444,515
450,443,518
460,443,516
470,444,516
480,442,517
490,443,518
500,443,516
510,442,516
520,442,517
530,443,517
540,441,517
550,443,518
560,444,518
570,441,517
580,440,516
590,440,516
600,442,517
610,443,515
620,442,516
630,440,516
640,444,517
650,443,518
660,443,518
670,446,516
680,441,516
690,442,516
700,445,517
710,444,517
720,447,517
730,444,517
740,443,517
750,444,519
760,442,518
770,445,518
780,444,517
790,444,516
800,444,515
810,443,517
820,443,516
830,444,516
840,444,517
850,445,519
860,445,516
870,445,518
880,446,518
890,441,515
900,444,517
910,442,516
920,444,518
930,442,517
940,445,517
950,446,517
960,446,516
970,445,518
980,445,516
990,442,517
