timestamp,MQ-135,MQ-7
0,312,471
10,310,466
20,304,466
30,303,464
40,304,465
50,307,464
60,308,466
70,306,466
80,308,464
90,309,466
100,308,465
110,309,465
120,309,466
130,312,464
140,312,466
150,315,465
160,313,467
170,309,464
180,311,465
190,311,467
200,312,466
210,315,466
220,315,465
230,317,467
240,315,467
250,313,463
260,316,466
270,316,468
280,315,466
290,317,468
300,316,467
310,316,467
320,317,467
330,318,466
340,317,467
350,316,466
360,315,466
370,317,465
380,317,466
390,315,468
400,317,466
410,317,467
420,318,466
430,318,466
440,320,467
450,318,466
460,316,465
470,315,466
480,316,465
490,317,465
500,318,466
510,318,467
520,316,467
530,316,465
540,318,468
550,317,465
560,317,466
570,354,465
580,356,465
590,353,466
600,354,463
610,354,467
620,356,466
630,354,465
640,355,466
650,354,464
660,355,466
670,354,465
680,352,466
690,354,467
700,356,466
710,355,464
720,355,466
730,356,467
740,356,467
750,356,466
760,357,467
770,356,465
780,356,466
790,357,466
800,358,465
810,358,467
820,357,466
830,358,465
840,356,465
850,357,465
860,357,465
870,356,467
880,357,465
890,357,467
900,359,466
910,356,467
920,357,466
930,357,466
940,357,467
950,358,466
960,357,466
970,355,465
980,356,464
990,356,467
