timestamp,MQ-135,MQ-7
0,457,484
10,457,477
20,450,474
30,452,473
40,454,475
50,458,476
60,459,474
70,459,475
80,459,474
90,460,476
100,458,476
110,462,475
120,462,475
130,462,476
140,465,475
150,464,476
160,466,476
170,466,476
180,465,475
190,465,475
200,463,475
210,464,475
220,466,475
230,467,475
240,466,476
250,466,477
260,466,475
270,468,477
280,465,476
290,463,475
300,457,473
310,459,474
320,456,473
330,458,474
340,460,473
350,462,475
360,459,473
370,459,475
380,465,475
390,462,474
400,457,473
410,459,472
420,459,474
430,462,474
440,464,475
450,463,474
460,464,474
470,463,476
480,461,473
490,461,475
500,466,474
510,461,473
520,464,475
530,465,475
540,465,475
550,466,475
560,466,474
570,467,476
580,467,474
590,468,476
600,468,474
610,468,474
620,469,476
630,469,476
640,465,475
650,468,475
660,468,474
670,467,475
680,468,475
690,466,475
700,467,477
710,469,473
720,469,476
730,468,476
740,470,475
750,470,475
760,471,474
770,470,478
780,469,476
790,467,477
800,469,476
810,471,474
820,470,477
830,471,476
840,470,476
850,469,477
860,471,474
870,469,476
880,472,476
890,471,477
900,471,476
910,472,477
920,471,475
930,472,476
940,472,475
950,470,477
960,472,474
970,472,477
980,472,476
990,472,476
