timestamp,MQ-135,MQ-7
0,453,525
10,454,516
20,454,519
30,452,517
40,452,519
50,452,516
60,451,516
70,454,517
80,452,518
90,452,518
100,452,517
110,452,516
120,453,518
130,454,518
140,451,516
150,455,517
160,451,517
170,452,516
180,453,518
190,451,517
200,453,518
210,452,517
220,453,516
230,453,518
240,456,518
250,454,518
260,454,518
270,454,518
280,451,519
290,452,517
300,454,516
310,453,517
320,454,517
330,454,517
340,455,517
350,455,517
360,454,518
370,454,517
380,452,517
390,455,516
400,454,517
410,457,518
420,454,517
430,452,517
440,456,518
450,455,517
460,453,518
470,454,518
480,452,517
490,455,516
500,453,518
510,454,517
520,454,518
530,454,516
540,454,517
550,453,516
560,452,516
570,454,517
580,456,517
590,453,516
600,455,517
610,453,519
620,454,515
630,453,518
640,453,517
650,452,517
660,454,517
670,454,517
680,454,518
690,454,517
700,454,516
710,452,517
720,455,518
730,453,518
740,455,516
750,454,516
760,456,517
770,454,517
780,455,517
790,456,518
800,455,517
810,453,516
820,454,517
830,456,518
840,453,517
850,454,516
860,456,517
870,453,516
880,454,517
890,457,517
900,455,516
910,455,518
920,455,518
930,454,517
940,456,517
950,456,516
960,454,517
970,458,517
980,454,517
990,456,518
