timestamp,MQ-135,MQ-7
0,464,350
10,464,355
20,464,359
30,466,359
40,466,361
50,463,358
60,465,358
70,467,362
80,463,359
90,462,361
100,462,360
110,464,360
120,463,363
130,464,359
140,463,360
150,463,360
160,464,359
170,465,362
180,463,361
190,464,362
200,464,360
210,464,361
220,464,360
230,462,359
240,462,360
250,461,358
260,465,360
270,465,363
280,465,360
290,465,362
300,465,361
310,461,359
320,465,362
330,465,360
340,465,361
350,464,361
360,464,362
370,466,360
380,464,360
390,464,362
400,466,360
410,466,362
420,466,363
430,463,358
440,465,361
450,465,360
460,465,360
470,465,361
480,467,360
490,464,362
500,465,361
510,466,359
520,467,363
530,465,361
540,466,362
550,467,359
560,468,362
570,466,363
580,464,360
590,463,363
600,466,361
610,466,362
620,464,362
630,462,359
640,464,362
650,464,360
660,465,360
670,463,360
680,465,359
690,464,363
700,464,362
710,463,361
720,464,362
730,465,360
740,465,362
750,465,361
760,463,362
770,465,361
780,466,361
790,465,362
800,464,361
810,465,362
820,465,364
830,465,361
840,466,361
850,465,360
860,466,361
870,465,360
880,465,359
890,466,361
900,463,359
910,462,360
920,466,362
930,466,361
940,466,361
950,465,361
960,464,360
970,465,363
980,467,360
990,465,363
