timestamp,MQ-135,MQ-7
0,271,514
10,272,499
20,274,498
30,276,499
40,276,499
50,271,500
60,274,499
70,274,498
80,276,500
90,276,500
100,275,499
110,272,500
120,273,499
130,274,498
140,274,499
150,273,499
160,271,499
170,273,498
180,275,500
190,273,499
200,274,499
210,272,499
220,273,497
230,273,498
240,273,500
250,273,497
260,272,499
270,271,498
280,272,499
290,272,499
300,272,499
310,273,500
320,271,498
330,270,498
340,271,497
350,272,498
360,270,499
370,273,498
380,270,499
390,274,499
400,271,498
410,271,498
420,270,497
430,270,498
440,270,498
450,272,498
460,271,499
470,272,499
480,273,500
490,275,499
500,274,499
510,270,500
520,272,497
530,275,499
540,273,499
550,273,499
560,270,499
570,272,499
580,274,498
590,276,500
600,271,498
610,273,500
620,274,498
630,275,500
640,273,500
650,274,499
660,274,499
670,275,499
680,274,499
690,274,500
700,271,499
710,274,499
720,274,500
730,276,498
740,272,499
750,274,500
760,274,499
770,271,498
780,273,498
790,273,499
800,275,498
810,275,499
820,278,499
830,274,499
840,275,498
850,275,497
860,275,499
870,274,497
880,275,498
890,275,499
900,273,496
910,274,498
920,274,498
930,267,498
940,275,499
950,275,498
960,274,498
970,278,500
980,275,499
990,274,499
