timestamp,MQ-135,MQ-7
0,467,345
10,468,354
20,468,357
30,468,354
40,469,356
50,467,356
60,468,358
70,467,357
80,468,356
90,464,359
100,467,356
110,467,359
120,467,360
130,465,357
140,467,359
150,467,356
160,467,359
170,467,358
180,467,358
190,468,361
200,469,357
210,468,358
220,469,359
230,466,359
240,467,359
250,468,360
260,471,360
270,468,359
280,466,358
290,467,358
300,471,358
310,470,360
320,470,359
330,469,359
340,470,360
350,470,358
360,470,360
370,469,359
380,471,359
390,472,361
400,470,359
410,469,359
420,470,358
430,470,357
440,467,361
450,468,358
460,469,359
470,470,360
480,468,358
490,468,360
500,468,360
510,468,360
520,467,359
530,466,357
540,471,358
550,470,358
560,467,358
570,467,360
580,467,359
590,465,360
600,467,360
610,467,360
620,467,359
630,465,357
640,464,360
650,465,358
660,466,360
670,466,359
680,467,356
690,465,360
700,466,360
710,465,359
720,466,361
730,464,359
740,463,359
750,465,358
760,464,359
770,464,361
780,465,359
790,464,361
800,467,358
810,465,359
820,465,361
830,466,357
840,464,359
850,464,357
860,466,359
870,465,360
880,466,358
890,466,359
900,466,359
910,466,360
920,466,360
930,466,357
940,464,359
950,465,358
960,466,356
970,467,361
980,466,359
990,466,359
