timestamp,MQ-135,MQ-7
0,462,352
10,462,360
20,462,359
30,463,360
40,464,359
50,463,361
60,462,360
70,463,360
80,463,361
90,461,359
100,462,360
110,460,363
120,461,361
130,461,360
140,460,360
150,462,360
160,460,362
170,463,360
180,463,361
190,462,359
200,461,361
210,460,362
220,461,359
230,462,362
240,462,361
250,463,361
260,462,363
270,463,360
280,464,363
290,463,360
300,464,360
310,462,362
320,463,360
330,461,360
340,463,361
350,463,361
360,462,363
370,463,360
380,463,362
390,463,359
400,463,361
410,462,361
420,464,360
430,462,363
440,462,362
450,462,360
460,462,362
470,463,359
480,466,362
490,464,360
500,464,362
510,463,362
520,463,360
530,464,363
540,463,362
550,464,362
560,461,362
570,463,360
580,463,361
590,463,361
600,463,362
610,463,363
620,463,361
630,464,362
640,463,362
650,461,361
660,463,364
670,463,362
680,464,362
690,463,360
700,466,362
710,464,362
720,461,361
730,464,361
740,463,361
750,463,361
760,460,364
770,463,361
780,464,362
790,463,362
800,462,360
810,462,363
820,461,360
830,461,361
840,461,361
850,462,362
860,460,362
870,462,359
880,461,362
890,461,360
900,462,360
910,462,363
920,463,360
930,463,361
940,463,360
950,462,362
960,462,361
970,463,361
980,462,361
990,461,361
