timestamp,MQ-135,MQ-7
0,448,523
10,445,517
20,444,515
30,444,515
40,443,517
50,442,517
60,440,517
70,440,516
80,439,517
90,440,516
100,439,516
110,438,514
120,442,517
130,442,515
140,443,516
150,441,517
160,439,516
170,439,516
180,440,515
190,440,515
200,440,514
210,442,516
220,440,515
230,443,516
240,442,514
250,442,514
260,444,515
270,443,515
280,443,516
290,440,516
300,442,516
310,442,517
320,441,515
330,443,516
340,444,514
350,445,515
360,446,515
370,444,516
380,444,515
390,444,515
400,443,516
410,443,517
420,442,516
430,443,515
440,443,516
450,441,516
460,444,514
470,445,515
480,443,516
490,439,514
500,443,516
510,443,516
520,442,515
530,443,516
540,443,517
550,443,516
560,441,517
570,443,516
580,442,517
590,443,516
600,443,517
610,443,515
620,440,516
630,441,517
640,443,515
650,444,516
660,444,516
670,443,516
680,444,516
690,443,514
700,442,516
710,442,516
720,447,515
730,444,517
740,444,517
750,443,516
760,443,515
770,443,516
780,446,516
790,443,516
800,443,517
810,443,516
820,443,516
830,446,515
840,444,516
850,444,516
860,443,515
870,446,516
880,444,518
890,443,516
900,444,516
910,443,516
920,442,516
930,444,516
940,442,517
950,443,517
960,447,516
970,443,517
980,445,518
990,446,517
