timestamp,MQ-135,MQ-7
0,424,525
10,424,518
20,425,517
30,424,515
40,416,515
50,414,516
60,418,514
70,416,517
80,417,517
90,416,515
100,417,516
110,417,514
120,417,516
130,418,516
140,421,516
150,423,516
160,424,516
170,425,518
180,427,515
190,427,516
200,427,517
210,425,516
220,425,517
230,424,517
240,424,516
250,424,515
260,424,517
270,424,516
280,424,517
290,424,516
300,424,517
310,425,517
320,424,516
330,422,516
340,424,515
350,424,518
360,424,517
370,424,517
380,424,516
390,425,518
400,425,516
410,425,517
420,424,517
430,424,518
440,424,517
450,424,516
460,424,516
470,425,517
480,424,516
490,424,516
500,425,518
510,425,516
520,424,517
530,424,515
540,424,516
550,424,516
560,424,516
570,424,516
580,424,516
590,423,516
600,425,516
610,424,516
620,423,515
630,425,516
640,425,515
650,426,517
660,424,517
670,424,517
680,424,516
690,423,515
700,424,517
710,426,515
720,425,513
730,425,515
740,425,515
750,425,517
760,425,515
770,427,516
780,424,516
790,425,516
800,425,517
810,425,517
820,424,517
830,425,515
840,426,515
850,425,517
860,427,516
870,425,515
880,424,516
890,425,516
900,425,516
910,422,516
920,425,517
930,424,515
940,425,515
950,425,517
960,427,516
970,427,516
980,427,517
990,425,516
