timestamp,MQ-135,MQ-7
0,351,471
10,358,466
20,347,464
30,351,465
40,351,465
50,337,462
60,341,462
70,349,464
80,336,462
90,326,460
100,332,459
110,330,458
120,336,461
130,339,461
140,343,463
150,346,463
160,354,463
170,358,466
180,351,466
190,361,466
200,357,466
210,358,466
220,361,465
230,359,464
240,358,466
250,364,466
260,362,466
270,361,467
280,361,465
290,361,465
300,360,467
310,361,465
320,360,466
330,362,464
340,362,465
350,361,464
360,362,466
370,364,468
380,366,467
390,364,465
400,364,467
410,365,465
420,362,466
430,364,465
440,364,465
450,362,466
460,363,466
470,362,465
480,363,466
490,364,466
500,364,466
510,364,467
520,365,465
530,364,465
540,365,465
550,363,465
560,363,466
570,362,465
580,363,465
590,363,465
600,367,464
610,364,464
620,363,467
630,365,464
640,364,466
650,366,466
660,365,465
670,365,466
680,365,465
690,366,466
700,366,466
710,366,467
720,365,466
730,366,466
740,364,466
750,364,465
760,364,465
770,365,467
780,366,466
790,363,465
800,364,467
810,365,465
820,361,466
830,366,466
840,366,466
850,365,465
860,365,466
870,363,466
880,367,466
890,365,467
900,365,467
910,364,467
920,363,467
930,367,466
940,365,466
950,365,466
960,364,464
970,363,466
980,363,467
990,365,465
