timestamp,MQ-135,MQ-7
0,459,523
10,456,519
20,454,519
30,450,519
40,452,518
50,452,517
60,451,518
70,449,517
80,449,517
90,450,519
100,448,518
110,447,518
120,446,517
130,451,519
140,450,519
150,451,519
160,453,517
170,451,519
180,448,519
190,450,518
200,449,519
210,451,518
220,448,516
230,451,518
240,450,519
250,452,518
260,454,519
270,452,519
280,450,518
290,450,516
300,448,517
310,453,519
320,449,517
330,452,518
340,452,519
350,453,518
360,453,519
370,453,517
380,450,516
390,454,517
400,454,516
410,454,519
420,454,517
430,453,518
440,453,518
450,453,517
460,452,519
470,453,517
480,450,519
490,452,516
500,452,517
510,452,518
520,452,516
530,453,517
540,452,517
550,453,518
560,450,518
570,451,518
580,452,517
590,450,516
600,452,518
610,452,518
620,452,518
630,452,518
640,452,518
650,455,518
660,453,517
670,454,518
680,453,517
690,449,517
700,453,519
710,453,518
720,452,518
730,451,517
740,452,518
750,451,518
760,452,519
770,451,518
780,453,518
790,450,518
800,452,518
810,452,516
820,452,518
830,454,517
840,452,518
850,453,517
860,453,517
870,454,518
880,452,518
890,450,518
900,451,518
910,451,518
920,454,517
930,453,517
940,452,518
950,452,519
960,452,518
970,453,518
980,452,518
990,454,518
