timestamp,MQ-135,MQ-7
0,459,349
10,459,356
20,462,358
30,459,359
40,459,361
50,459,359
60,459,359
70,458,360
80,459,358
90,457,360
100,460,359
110,458,359
120,457,360
130,461,358
140,459,361
150,458,359
160,460,360
170,459,360
180,460,360
190,460,362
200,459,359
210,460,360
220,459,361
230,457,359
240,459,362
250,459,359
260,460,360
270,460,360
280,459,359
290,459,362
300,458,358
310,459,359
320,458,359
330,459,361
340,460,362
350,459,360
360,459,362
370,461,362
380,459,360
390,460,360
400,460,360
410,465,360
420,460,360
430,458,360
440,461,361
450,460,360
460,460,361
470,458,361
480,459,359
490,459,361
500,459,359
510,459,361
520,460,361
530,459,361
540,459,361
550,458,359
560,458,359
570,460,361
580,459,361
590,456,361
600,459,360
610,457,361
620,457,360
630,459,359
640,460,361
650,459,360
660,459,360
670,460,360
680,458,361
690,458,363
700,459,360
710,461,361
720,457,360
730,459,360
740,459,361
750,459,362
760,461,360
770,461,360
780,465,362
790,460,361
800,460,360
810,460,360
820,461,360
830,457,359
840,460,362
850,460,361
860,457,363
870,459,360
880,459,359
890,459,361
900,458,360
910,458,361
920,457,360
930,457,361
940,458,362
950,459,360
960,458,361
970,460,361
980,458,361
990,458,362
