timestamp,MQ-135,MQ-7
0,468,350
10,467,355
20,468,357
30,468,360
40,467,359
50,468,361
60,468,359
70,468,358
80,468,362
90,468,358
100,468,361
110,467,360
120,466,358
130,466,362
140,467,358
150,466,360
160,466,359
170,467,359
180,465,361
190,467,358
200,467,361
210,465,359
220,467,358
230,467,360
240,466,358
250,466,360
260,466,361
270,466,360
280,465,362
290,464,358
300,464,360
310,463,361
320,464,360
330,465,361
340,464,360
350,461,359
360,463,359
370,462,359
380,462,360
390,462,358
400,462,361
410,462,359
420,460,359
430,461,360
440,461,359
450,460,360
460,461,359
470,461,359
480,461,362
490,460,359
500,461,360
510,461,360
520,463,360
530,458,361
540,462,358
550,462,362
560,460,360
570,463,359
580,463,361
590,463,360
600,463,360
610,461,359
620,463,359
630,463,359
640,462,357
650,462,359
660,461,359
670,460,359
680,463,360
690,464,359
700,464,360
710,462,359
720,465,360
730,461,360
740,463,360
750,465,361
760,461,359
770,464,359
780,463,361
790,463,360
800,464,361
810,464,359
820,462,361
830,464,362
840,463,359
850,464,360
860,462,359
870,464,359
880,463,362
890,467,360
900,463,360
910,462,360
920,463,358
930,463,362
940,461,358
950,465,360
960,462,359
970,462,359
980,461,361
990,463,358
