timestamp,MQ-135,MQ-7
0,453,474
10,455,466
20,453,467
30,453,467
40,449,466
50,425,461
60,410,457
70,411,456
80,411,455
90,423,457
100,433,463
110,434,460
120,433,461
130,434,463
140,435,462
150,434,463
160,434,460
170,434,461
180,432,461
190,433,461
200,432,460
210,434,462
220,438,462
230,442,463
240,453,465
250,447,465
260,446,463
270,445,464
280,445,464
290,451,464
300,455,467
310,458,467
320,457,467
330,456,466
340,453,465
350,455,465
360,455,465
370,456,466
380,453,465
390,451,463
400,454,468
410,453,465
420,452,466
430,457,466
440,455,467
450,456,467
460,457,467
470,456,467
480,456,467
490,456,466
500,455,466
510,454,466
520,455,467
530,455,467
540,453,466
550,450,467
560,450,466
570,450,467
580,450,465
590,448,465
600,447,467
610,450,466
620,448,467
630,449,466
640,449,464
650,450,468
660,450,467
670,449,467
680,448,467
690,449,464
700,445,466
710,446,463
720,449,466
730,450,466
740,447,464
750,449,467
760,450,465
770,448,467
780,447,466
790,447,465
800,447,465
810,447,466
820,448,466
830,450,467
840,449,464
850,449,466
860,449,465
870,452,466
880,449,466
890,450,466
900,448,465
910,448,465
920,448,466
930,447,466
940,448,464
950,449,466
960,449,467
970,450,467
980,450,466
990,450,466
