timestamp,MQ-135,MQ-7
0,462,349
10,462,356
20,460,358
30,459,358
40,462,359
50,463,358
60,463,359
70,458,360
80,462,359
90,463,359
100,462,359
110,462,359
120,460,360
130,463,358
140,463,361
150,463,358
160,465,360
170,462,360
180,462,358
190,463,361
200,463,358
210,462,359
220,461,361
230,463,359
240,463,359
250,461,359
260,463,359
270,463,361
280,464,359
290,463,361
300,463,359
310,461,361
320,460,359
330,464,357
340,463,360
350,463,358
360,463,361
370,463,359
380,464,358
390,464,359
400,464,358
410,463,360
420,463,360
430,462,360
440,464,361
450,463,359
460,462,358
470,462,360
480,462,357
490,463,359
500,466,359
510,463,359
520,462,360
530,463,359
540,464,359
550,463,359
560,463,360
570,463,359
580,463,359
590,462,360
600,464,359
610,463,360
620,463,360
630,462,358
640,463,360
650,464,359
660,462,361
670,463,358
680,463,358
690,460,360
700,465,358
710,462,360
720,463,358
730,464,359
740,462,359
750,460,360
760,464,360
770,464,361
780,462,360
790,462,360
800,464,358
810,465,361
820,463,359
830,462,359
840,462,361
850,464,358
860,462,360
870,463,359
880,464,362
890,463,363
900,464,363
910,463,365
920,464,360
930,464,362
940,464,363
950,464,363
960,464,363
970,464,360
980,464,362
990,466,364
