timestamp,MQ-135,MQ-7
0,385,522
10,383,513
20,379,512
30,380,512
40,382,513
50,383,512
60,383,514
70,383,513
80,382,513
90,380,512
100,383,512
110,381,513
120,384,512
130,383,512
140,383,512
150,383,511
160,381,511
170,382,512
180,384,513
190,382,513
200,380,512
210,384,513
220,383,513
230,384,513
240,383,512
250,385,512
260,384,513
270,385,512
280,385,512
290,382,513
300,383,511
310,384,513
320,383,513
330,381,512
340,384,510
350,384,512
360,384,512
370,381,513
380,382,511
390,384,512
400,384,511
410,383,513
420,383,513
430,381,513
440,385,512
450,386,512
460,385,513
470,384,513
480,384,512
490,384,514
500,385,513
510,383,511
520,383,514
530,383,511
540,385,512
550,385,512
560,384,513
570,383,512
580,385,512
590,382,512
600,384,513
610,383,512
620,384,513
630,383,513
640,383,512
650,383,512
660,383,513
670,384,513
680,385,513
690,385,513
700,383,513
710,382,511
720,383,512
730,382,511
740,382,511
750,382,511
760,384,513
770,383,512
780,384,512
790,384,511
800,385,512
810,383,512
820,383,514
830,383,513
840,382,512
850,383,511
860,384,512
870,383,512
880,383,511
890,383,512
900,383,512
910,384,512
920,384,514
930,385,513
940,383,513
950,384,512
960,384,514
970,384,511
980,382,513
990,384,514
