timestamp,MQ-135,MQ-7
0,466,351
10,466,355
20,462,360
30,463,360
40,463,358
50,463,361
60,463,359
70,462,361
80,462,359
90,462,359
100,463,361
110,462,360
120,462,362
130,465,358
140,465,360
150,465,361
160,463,361
170,462,361
180,462,361
190,461,360
200,465,363
210,463,361
220,464,362
230,464,358
240,464,360
250,468,362
260,464,360
270,464,362
280,465,360
290,464,358
300,464,361
310,465,360
320,465,362
330,465,362
340,465,360
350,464,361
360,465,358
370,464,360
380,466,360
390,465,360
400,465,363
410,465,359
420,466,362
430,465,360
440,464,360
450,464,361
460,465,360
470,464,362
480,465,360
490,466,359
500,466,363
510,466,360
520,466,361
530,466,361
540,464,360
550,464,362
560,464,360
570,464,362
580,466,360
590,466,361
600,467,362
610,466,360
620,467,361
630,465,361
640,466,361
650,465,362
660,466,359
670,464,362
680,466,362
690,466,362
700,465,364
710,466,361
720,466,362
730,465,361
740,465,361
750,467,363
760,467,360
770,465,361
780,466,359
790,467,362
800,466,363
810,467,360
820,466,363
830,466,359
840,465,362
850,466,363
860,466,361
870,466,362
880,465,362
890,467,361
900,466,362
910,466,360
920,466,363
930,467,360
940,467,359
950,467,361
960,466,361
970,466,362
980,465,362
990,465,362
