timestamp,MQ-135,MQ-7
0,339,345
10,340,353
20,340,354
30,338,359
40,341,357
50,339,360
60,338,358
70,338,358
80,337,361
90,337,359
100,337,361
110,335,361
120,338,360
130,337,360
140,336,358
150,339,360
160,337,358
170,339,358
180,339,362
190,341,360
200,342,361
210,341,361
220,341,360
230,343,361
240,339,357
250,337,360
260,337,358
270,339,362
280,337,362
290,338,358
300,338,361
310,337,361
320,338,360
330,337,362
340,334,358
350,337,362
360,337,361
370,337,360
380,338,362
390,338,358
400,339,362
410,338,361
420,339,360
430,338,362
440,335,357
450,338,360
460,338,360
470,337,360
480,337,360
490,336,359
500,339,361
510,338,359
520,338,361
530,339,361
540,338,359
550,339,362
560,338,360
570,339,359
580,337,361
590,339,358
600,340,363
610,339,360
620,339,360
630,346,363
640,339,359
650,340,360
660,338,360
670,339,360
680,338,362
690,340,358
700,340,362
710,340,360
720,340,361
730,341,361
740,338,359
750,339,360
760,340,360
770,340,360
780,342,362
790,340,360
800,341,363
810,341,359
820,341,360
830,341,362
840,339,358
850,340,362
860,340,360
870,345,360
880,341,360
890,340,359
900,340,359
910,341,360
920,342,359
930,342,361
940,341,358
950,342,361
960,341,359
970,340,357
980,341,361
990,341,359
