timestamp,MQ-135,MQ-7
0,375,513
10,373,502
20,375,505
30,373,505
40,373,502
50,374,503
60,374,504
70,377,503
80,374,502
90,376,503
100,377,502
110,373,502
120,374,503
130,375,504
140,374,503
150,373,503
160,374,503
170,376,504
180,376,504
190,375,503
200,374,503
210,370,502
220,371,501
230,374,501
240,374,502
250,373,502
260,373,501
270,374,500
280,374,502
290,371,503
300,371,502
310,372,501
320,374,501
330,373,503
340,372,502
350,372,502
360,372,501
370,373,503
380,374,502
390,374,501
400,375,502
410,374,499
420,372,501
430,373,501
440,372,501
450,371,503
460,371,503
470,373,503
480,373,501
490,372,501
500,373,501
510,373,501
520,374,499
530,377,502
540,373,502
550,376,501
560,372,502
570,371,503
580,373,502
590,373,502
600,375,500
610,374,502
620,372,500
630,372,500
640,372,501
650,372,502
660,373,501
670,375,501
680,372,502
690,372,501
700,373,502
710,373,500
720,372,501
730,372,502
740,372,503
750,372,501
760,371,502
770,372,502
780,372,502
790,372,502
800,373,501
810,373,502
820,372,501
830,371,501
840,372,503
850,373,502
860,374,502
870,373,500
880,373,501
890,374,500
900,373,502
910,372,501
920,372,502
930,370,501
940,371,502
950,371,500
960,372,501
970,371,501
980,371,501
990,371,501
