timestamp,MQ-135,MQ-7
0,315,324
10,312,339
20,312,344
30,312,345
40,310,347
50,311,347
60,311,347
70,312,348
80,312,347
90,312,347
100,312,346
110,312,348
120,312,348
130,313,346
140,312,348
150,313,346
160,313,346
170,313,348
180,313,346
190,312,346
200,312,347
210,314,347
220,312,347
230,313,346
240,313,347
250,312,347
260,313,348
270,313,348
280,314,346
290,314,348
300,314,347
310,312,349
320,314,348
330,315,346
340,315,348
350,315,346
360,315,347
370,316,347
380,315,346
390,316,347
400,316,345
410,316,347
420,316,346
430,317,346
440,317,347
450,316,347
460,317,347
470,317,348
480,318,345
490,317,347
500,315,346
510,318,347
520,315,347
530,318,347
540,318,347
550,318,346
560,316,348
570,318,348
580,318,345
590,319,347
600,319,346
610,319,346
620,319,347
630,320,347
640,320,347
650,317,347
660,319,347
670,321,347
680,320,345
690,322,347
700,319,346
710,320,346
720,319,345
730,321,347
740,322,346
750,321,346
760,321,347
770,320,346
780,320,346
790,322,345
800,323,347
810,322,347
820,323,346
830,323,347
840,324,347
850,322,346
860,325,347
870,326,346
880,325,345
890,326,347
900,323,346
910,324,346
920,323,346
930,327,346
940,324,346
950,325,346
960,326,344
970,327,345
980,327,346
990,329,347
