timestamp,MQ-135,MQ-7
0,329,507
10,330,494
20,330,494
30,330,494
40,330,494
50,328,492
60,330,491
70,331,494
80,330,493
90,330,494
100,330,494
110,331,493
120,331,491
130,331,493
140,329,492
150,330,490
160,330,492
170,330,491
180,330,493
190,331,494
200,330,495
210,332,495
220,330,496
230,332,496
240,332,495
250,332,494
260,332,491
270,331,490
280,333,490
290,333,490
300,333,492
310,334,492
320,334,489
330,331,490
340,335,488
350,334,490
360,334,491
370,334,490
380,335,493
390,337,491
400,335,493
410,337,490
420,336,493
430,337,491
440,334,492
450,337,492
460,335,491
470,334,492
480,337,491
490,339,492
500,338,492
510,338,492
520,338,491
530,339,491
540,338,492
550,341,494
560,337,492
570,338,491
580,341,491
590,337,490
600,338,491
610,339,492
620,340,491
630,340,493
640,341,491
650,340,491
660,339,490
670,340,492
680,341,491
690,340,491
700,341,490
710,340,492
720,340,491
730,341,492
740,341,490
750,342,493
760,341,492
770,340,490
780,342,492
790,342,491
800,341,492
810,341,490
820,342,492
830,343,492
840,341,491
850,343,492
860,344,491
870,340,491
880,343,492
890,342,491
900,341,492
910,342,491
920,344,492
930,343,492
940,344,489
950,343,491
960,347,491
970,344,490
980,343,490
990,343,489
