timestamp,MQ-135,MQ-7
0,440,524
10,435,517
20,434,518
30,436,516
40,435,518
50,438,518
60,438,517
70,436,517
80,436,517
90,440,517
100,436,516
110,437,517
120,433,516
130,438,516
140,438,517
150,438,516
160,434,518
170,440,518
180,439,517
190,438,516
200,440,517
210,442,517
220,441,517
230,443,516
240,442,518
250,443,518
260,446,516
270,442,517
280,442,518
290,441,517
300,439,517
310,439,518
320,440,516
330,437,518
340,440,518
350,440,518
360,440,516
370,440,516
380,442,517
390,438,517
400,438,518
410,439,517
420,439,517
430,439,517
440,440,516
450,439,517
460,438,517
470,439,517
480,439,516
490,440,516
500,438,516
510,438,517
520,441,516
530,436,517
540,439,516
550,438,517
560,438,518
570,437,517
580,442,516
590,438,518
600,438,517
610,439,516
620,438,517
630,437,515
640,443,517
650,439,518
660,440,517
670,443,516
680,441,518
690,440,517
700,440,517
710,441,516
720,443,517
730,440,517
740,438,517
750,440,517
760,440,518
770,440,518
780,440,517
790,441,517
800,439,517
810,438,517
820,442,518
830,440,517
840,440,518
850,439,518
860,440,518
870,440,518
880,441,517
890,441,516
900,441,518
910,440,518
920,440,518
930,440,516
940,440,518
950,445,518
960,446,516
970,445,519
980,447,517
990,443,517
