timestamp,MQ-135,MQ-7
0,310,479
10,310,473
20,310,474
30,303,472
40,298,471
50,302,472
60,309,471
70,303,471
80,302,470
90,304,469
100,306,471
110,309,469
120,307,471
130,314,473
140,313,472
150,312,472
160,310,470
170,310,473
180,302,470
190,304,471
200,308,471
210,310,472
220,310,472
230,312,471
240,312,472
250,310,472
260,313,472
270,312,473
280,312,472
290,312,473
300,312,472
310,315,472
320,311,471
330,312,470
340,312,472
350,312,471
360,312,472
370,312,472
380,313,472
390,312,472
400,313,470
410,313,471
420,313,472
430,312,472
440,312,471
450,312,472
460,311,471
470,314,472
480,313,472
490,312,471
500,314,471
510,314,470
520,313,472
530,312,472
540,312,473
550,314,472
560,314,472
570,313,470
580,312,470
590,312,470
600,313,469
610,314,472
620,314,471
630,310,470
640,314,472
650,313,470
660,314,471
670,313,472
680,311,472
690,315,472
700,316,471
710,312,472
720,313,471
730,311,470
740,314,472
750,313,472
760,314,471
770,315,471
780,314,471
790,313,471
800,312,470
810,313,470
820,310,470
830,312,471
840,314,470
850,312,472
860,313,471
870,309,471
880,313,470
890,312,470
900,314,470
910,313,471
920,313,471
930,312,468
940,312,471
950,312,472
960,314,471
970,313,471
980,313,472
990,315,473
