timestamp,MQ-135,MQ-7
0,473,495
10,471,485
20,466,484
30,467,484
40,457,483
50,449,481
60,440,479
70,438,478
80,452,479
90,442,478
100,448,480
110,449,479
120,446,481
130,449,479
140,453,479
150,457,482
160,472,483
170,470,483
180,468,482
190,475,485
200,482,485
210,481,485
220,482,486
230,483,485
240,481,486
250,482,486
260,480,485
270,483,484
280,482,483
290,481,487
300,482,484
310,482,487
320,482,486
330,482,485
340,484,487
350,482,486
360,482,485
370,483,484
380,480,486
390,481,487
400,484,484
410,480,487
420,481,486
430,480,484
440,479,485
450,482,485
460,482,486
470,481,487
480,481,485
490,482,486
500,483,485
510,481,486
520,483,487
530,482,485
540,484,488
550,482,486
560,483,486
570,483,486
580,482,485
590,483,486
600,481,487
610,482,485
620,483,487
630,483,485
640,483,487
650,483,484
660,480,486
670,484,485
680,484,486
690,483,487
700,484,487
710,483,485
720,484,486
730,483,487
740,484,487
750,482,485
760,483,486
770,484,487
780,484,486
790,482,487
800,482,485
810,482,484
820,480,485
830,483,487
840,482,487
850,483,484
860,483,486
870,484,486
880,483,485
890,481,486
900,484,485
910,483,486
920,483,487
930,482,484
940,483,485
950,483,486
960,483,485
970,483,487
980,483,484
990,482,486
