timestamp,MQ-135,MQ-7
0,462,354
10,461,360
20,461,358
30,460,360
40,462,361
50,461,361
60,461,363
70,462,361
80,462,360
90,461,361
100,463,360
110,464,362
120,463,360
130,463,361
140,461,361
150,464,360
160,464,363
170,467,360
180,465,363
190,464,361
200,464,362
210,464,362
220,463,361
230,464,361
240,464,359
250,465,360
260,466,362
270,466,360
280,463,361
290,463,362
300,464,360
310,463,363
320,463,359
330,462,360
340,463,361
350,462,360
360,462,361
370,464,360
380,465,361
390,464,359
400,465,360
410,466,362
420,464,362
430,464,362
440,465,360
450,465,361
460,466,362
470,465,359
480,464,362
490,464,361
500,465,360
510,463,363
520,464,360
530,463,361
540,465,361
550,466,362
560,464,363
570,465,360
580,466,361
590,464,361
600,465,361
610,464,363
620,465,361
630,463,362
640,464,361
650,464,361
660,462,363
670,465,359
680,464,363
690,466,361
700,465,361
710,463,363
720,466,360
730,462,361
740,464,361
750,466,360
760,464,363
770,465,360
780,466,364
790,464,361
800,460,361
810,462,365
820,465,360
830,462,362
840,460,361
850,462,360
860,463,363
870,464,359
880,461,362
890,461,361
900,462,361
910,464,364
920,464,361
930,462,362
940,460,361
950,463,361
960,462,363
970,463,360
980,462,362
990,462,360
