timestamp,MQ-135,MQ-7
0,458,524
10,457,519
20,458,519
30,456,518
40,456,519
50,453,518
60,455,518
70,455,517
80,454,518
90,461,518
100,459,516
110,459,518
120,456,518
130,455,517
140,454,518
150,454,518
160,455,519
170,454,516
180,455,517
190,455,518
200,454,518
210,452,518
220,460,518
230,455,517
240,456,518
250,456,518
260,458,518
270,458,519
280,459,518
290,459,517
300,458,517
310,458,516
320,462,518
330,458,518
340,460,518
350,462,518
360,461,518
370,460,519
380,460,518
390,459,518
400,460,518
410,457,517
420,459,519
430,459,519
440,459,518
450,459,517
460,459,517
470,457,519
480,461,519
490,457,518
500,458,518
510,456,519
520,457,518
530,457,518
540,458,518
550,455,517
560,458,518
570,457,518
580,459,519
590,457,518
600,459,519
610,456,518
620,456,516
630,456,519
640,459,519
650,459,518
660,461,518
670,458,518
680,457,517
690,457,517
700,457,516
710,458,518
720,455,518
730,458,517
740,457,517
750,457,518
760,459,518
770,456,517
780,457,517
790,456,518
800,457,519
810,457,518
820,453,518
830,456,518
840,456,516
850,456,519
860,456,518
870,456,517
880,457,518
890,458,518
900,458,519
910,457,518
920,456,518
930,458,516
940,459,519
950,458,516
960,458,518
970,457,519
980,457,516
990,458,517
